Product Name,Launch Year,Status,What it does?,Companies,Team Size,Budget Usage (%),Issues Reported,Risk Level,Outcome,Budget ($K),Sprint Velocity,Burn-down Score,Adoption,Retention,Churn,Bug Severity Score,Deployment Frequency,OPEX/CAPEX,Forecast Accuracy,Encoded labels,Synthetic correlations
Yandex.Station,2018,Active,Smart speaker with voice assistant (Alice),Yandex,9,61,5,Low,Delayed,683,90,75,73.2,90,10,7.5,4,0.683,61,1,45
Yandex.Taximeter,2011,Active,Mobile app for taxi drivers,Yandex,11,99,0,Low,On Track,494,110,100,118.8,100,0,0,5,0.494,99,2,0
Yandex.Maps (for Business),2008,Active,Mapping and navigation for businesses,Yandex,3,84,4,Low,Delayed,3888,30,80,100.8,92,8,6,1,3.888,84,1,12
Yandex Browser,2012,Active,Web browser with security features,Yandex,14,82,8,Low,On Track,2868,140,60,98.4,84,16,12,7,2.868,82,2,112
Yandex.Metrica,2008,Active,Web analytics service,Yandex,10,82,11,Medium,On Track,4267,100,45,98.4,78,22,16.5,5,4.267,82,2,110
Yandex Launcher,2015,Active,Android launcher,Yandex,13,110,9,High,Delayed,3960,130,55,132,82,18,13.5,6,3.96,90,1,117
Yandex.Zen,2015,Active,Content recommendation platform,Yandex,19,100,13,Low,On Track,373,190,35,120,74,26,19.5,9,0.373,100,2,247
Yandex.Eats,2017,Active,Food delivery service,Yandex,10,92,1,Low,On Track,2113,100,95,110.4,98,2,1.5,5,2.113,92,2,10
Yandex.Fuel,2014,Active,Fuel price comparison app,Yandex,5,61,0,Low,Critical,4533,50,100,73.2,100,0,0,2,4.533,61,0,0
Yandex.Mobilizatsiya,2015,Active,Fleet management and optimization,Yandex,5,116,13,Medium,On Track,1489,50,35,139.2,74,26,19.5,2,1.489,84,2,65
Yandex.Taxofon,2019,Active,Mobile app for business taxi,Yandex,3,114,9,Medium,Delayed,3666,30,55,136.8,82,18,13.5,1,3.666,86,1,27
WeChat,2011,Active,"Multi-purpose messaging, social media, and mobile payment app",Tencent,7,82,12,Low,Delayed,4802,70,40,98.4,76,24,18,3,4.802,82,1,84
QQ,1999,Active,Instant messaging platform,Tencent,12,89,10,High,On Track,265,120,50,106.8,80,20,15,6,0.265,89,2,120
Tencent Cloud,2010,Active,Cloud computing services,Tencent,9,92,8,Medium,Critical,1667,90,60,110.4,84,16,12,4,1.667,92,0,72
Tencent Video,2011,Active,Online video streaming platform,Tencent,11,93,9,Low,Critical,828,110,55,111.6,82,18,13.5,5,0.828,93,0,99
Tencent Music,2016,Active,Online music streaming and music services,Tencent,9,78,8,Medium,On Track,2143,90,60,93.6,84,16,12,4,2.143,78,2,72
Tencent Gaming,Various,Active,Various online and mobile games,Tencent,11,62,14,Medium,On Track,4297,110,30,74.4,72,28,21,5,4.297,62,2,154
Honor of Kings (Arena of Valor),2015,Active,Multiplayer online battle arena (MOBA) game,Tencent,10,61,8,Low,Delayed,3596,100,60,73.2,84,16,12,5,3.596,61,1,80
PUBG Mobile,2018,Active,Battle Royale mobile game,Tencent,14,,5,Low,On Track,878,140,75,114,90,10,7.5,7,0.878,95,2,70
WeGame,2017,Active,Digital distribution platform for PC and mobile games,Tencent,4,51,14,Low,Critical,313,40,30,61.2,72,28,21,2,0.313,51,0,56
Tencent Pictures,2015,Active,Film and television production and distribution,Tencent,3,84,7,Low,On Track,3862,30,65,100.8,86,14,10.5,1,3.862,84,2,21
Tencent News,2010,Active,News aggregation and content platform,Tencent,18,57,13,High,Delayed,1676,180,35,68.4,74,26,19.5,9,1.676,57,1,234
Tencent Sports,2016,Active,Sports content platform,Tencent,7,75,10,High,Delayed,2548,70,50,90,80,20,15,3,2.548,75,1,70
Tencent Maps,2011,Active,Mapping and navigation,Tencent,5,83,14,Low,Delayed,3036,50,30,99.6,72,28,21,2,3.036,83,1,70
Tencent AI Lab,2016,Active,Artificial intelligence research and development,Tencent,14,56,12,Low,Delayed,3217,140,40,67.2,76,24,18,7,3.217,56,1,168
Tencent Keen Security Lab,2016,Active,Cybersecurity research and development,Tencent,10,117,0,Low,Delayed,691,100,100,140.4,100,0,0,5,0.691,83,1,0
Tencent QQ Music,2003,Active,Online music streaming service,Tencent,5,107,9,Low,On Track,2820,50,55,128.4,82,18,13.5,2,2.82,93,2,45
Tencent Penguin Pictures,2014,Active,Film and television production,Tencent,3,78,3,High,On Track,813,30,85,93.6,94,6,4.5,1,0.813,78,2,9
Tencent Traveler,2012,Active,Web browser,Tencent,5,85,0,Low,On Track,1035,50,100,102,100,0,0,2,1.035,85,2,0
Tencent Video (International),2015,Active,International version of Tencent Video,Tencent,7,70,7,Low,On Track,4437,70,65,84,86,14,10.5,3,4.437,70,2,49
Tencent Weibo,2010,Active,Microblogging service,Tencent,17,85,0,Low,Delayed,101,170,100,102,100,0,0,8,0.101,85,1,0
Tencent Class,2020,Active,Online education platform,Tencent,16,59,2,Medium,Critical,2948,160,90,70.8,96,4,3,8,2.948,59,0,32
Tencent Meeting,2018,Active,Video conferencing platform,Tencent,5,73,12,Low,On Track,4144,50,40,87.6,76,24,18,2,4.144,73,2,60
Tencent Keen,2020,Active,Content discovery and curation platform,Tencent,3,113,3,Medium,Critical,2049,30,85,135.6,94,6,4.5,1,2.049,87,0,9
Tencent Docs,2018,Active,Online document collaboration,Tencent,7,98,14,Low,On Track,1017,70,30,117.6,72,28,21,3,1.017,98,2,98
Tencent Open Platform,2013,Active,Developer platform for third-party integrations,Tencent,16,85,14,Medium,On Track,3274,160,30,102,72,28,21,8,3.274,85,2,224
Tencent Trusted Doctors,2014,Active,Online healthcare platform,Tencent,9,73,14,Medium,Critical,2341,90,30,87.6,72,28,21,4,2.341,73,0,126
Tencent Myapp,2012,Active,Mobile app store,Tencent,11,72,7,Low,Delayed,189,110,65,86.4,86,14,10.5,5,0.189,72,1,77
Tencent Weiyun,2012,Active,Cloud storage service,Tencent,17,111,5,Low,On Track,1809,170,75,133.2,90,10,7.5,8,1.809,89,2,85
QQ Mail,1997,Active,Email service,Tencent,17,86,13,High,On Track,2269,170,35,103.2,74,26,19.5,8,2.269,86,2,221
Tencent QQ Browser,2008,Active,Web browser,Tencent,12,61,9,High,On Track,4338,120,55,73.2,82,18,13.5,6,4.338,61,2,108
Tencent Mimi,2020,Active,Short-form video platform,Tencent,15,104,11,Low,Critical,3141,150,45,124.8,78,22,16.5,7,3.141,96,0,165
Tencent Mina,2020,Active,Social networking app,Tencent,9,62,6,Low,Delayed,205,90,70,74.4,88,12,9,4,0.205,62,1,54
Tencent Pitu,2014,Active,Photo editing and sharing app,Tencent,19,72,13,High,Critical,986,190,35,86.4,74,26,19.5,9,0.986,72,0,247
Tencent VooV,2018,Active,Video conferencing and communication platform,Tencent,6,79,7,Medium,Critical,527,60,65,94.8,86,14,10.5,3,0.527,79,0,42
Windows,1985,Active,Operating system for personal computers,Microsoft,7,66,1,Low,Delayed,1995,70,95,79.2,98,2,1.5,3,1.995,66,1,7
Microsoft Office,1989,Active,"Productivity suite including Word, Excel, PowerPoint",Microsoft,9,111,12,High,Critical,416,90,40,133.2,76,24,18,4,0.416,89,0,108
Azure,2010,Active,Cloud computing platform,Microsoft,15,62,9,Low,Delayed,734,150,55,74.4,82,18,13.5,7,0.734,62,1,135
Microsoft Edge,2015,Active,Web browser,Microsoft,17,108,13,Medium,On Track,2025,170,35,129.6,74,26,19.5,8,2.025,92,2,221
Microsoft Teams,2017,Active,"Collaboration platform for chat, video, and file sharing",Microsoft,13,68,10,Low,Delayed,2156,130,50,81.6,80,20,15,6,2.156,68,1,130
Microsoft 365,2011,Active,Cloud-based subscription service with Office apps,Microsoft,6,98,7,Low,On Track,3244,60,65,117.6,86,14,10.5,3,3.244,98,2,42
Xbox,2001,Active,Gaming console and gaming services,Microsoft,15,61,2,Low,Critical,2370,150,90,73.2,96,4,3,7,2.37,61,0,30
Outlook,2012,Active,Email and personal information manager,Microsoft,9,110,6,Medium,Critical,1539,90,70,132,88,12,9,4,1.539,90,0,54
OneDrive,2007,Active,Cloud storage service,Microsoft,4,68,2,Low,On Track,652,40,90,81.6,96,4,3,2,0.652,68,2,8
Skype,2003,Active,"Video and voice calling, instant messaging",Microsoft,12,58,14,Low,Critical,815,120,30,69.6,72,28,21,6,0.815,58,0,168
Microsoft Dynamics,2001,Active,Enterprise resource planning (ERP) and customer relationship management (CRM),Microsoft,15,77,6,Low,Delayed,4011,150,70,92.4,88,12,9,7,4.011,77,1,90
Visual Studio,1997,Active,Integrated development environment (IDE),Microsoft,8,101,13,Medium,On Track,1813,80,35,121.2,74,26,19.5,4,1.813,99,2,104
SQL Server,1989,Active,Relational database management system (RDBMS),Microsoft,14,65,10,High,Critical,3489,140,50,78,80,20,15,7,3.489,65,0,140
Power BI,2013,Active,Business analytics service,Microsoft,14,118,14,Low,On Track,1207,140,30,141.6,72,28,21,7,1.207,82,2,196
Windows Server,2003,Active,Operating system for servers,Microsoft,13,61,11,Medium,Delayed,4306,130,45,73.2,78,22,16.5,6,4.306,61,1,143
Microsoft Surface,2012,Active,Line of personal computing devices,Microsoft,9,74,12,High,Delayed,350,90,40,88.8,76,24,18,4,0.35,74,1,108
Microsoft Flight Simulator,1982,Active,Flight simulation software,Microsoft,3,101,1,Medium,Critical,2530,30,95,121.2,98,2,1.5,1,2.53,99,0,3
Microsoft Defender,2006,Active,Antivirus and antimalware software,Microsoft,3,102,9,Low,Delayed,2154,30,55,122.4,82,18,13.5,1,2.154,98,1,27
Visual Studio Code,2015,Active,Source-code editor,Microsoft,15,72,5,Low,On Track,558,150,75,86.4,90,10,7.5,7,0.558,72,2,75
Microsoft Access,1992,Active,Database management system (DBMS),Microsoft,11,65,2,Low,Delayed,307,110,90,78,96,4,3,5,0.307,65,1,22
Microsoft Visio,1992,Active,Diagramming and vector graphics application,Microsoft,5,106,2,Low,On Track,999,50,90,127.2,96,4,3,2,0.999,94,2,10
Microsoft SharePoint,2001,Active,Collaborative platform for document management and storage,Microsoft,9,88,14,Low,On Track,3561,90,30,105.6,72,28,21,4,3.561,88,2,126
Microsoft Exchange Server,1993,Active,"Email, calendaring, and contact management server",Microsoft,8,102,8,Medium,Delayed,3485,80,60,122.4,84,16,12,4,3.485,98,1,64
Microsoft Power Platform,2019,Active,"Suite of applications, connectors, and a data platform for automating workflows",Microsoft,10,91,6,Low,Critical,121,100,70,109.2,88,12,9,5,0.121,91,0,60
Microsoft HoloLens,2016,Active,Augmented reality headset,Microsoft,11,107,4,Low,Delayed,509,110,80,128.4,92,8,6,5,0.509,93,1,44
Microsoft To Do,2017,Active,Task management app,Microsoft,7,88,11,Medium,On Track,994,70,45,105.6,78,22,16.5,3,0.994,88,2,77
Minecraft,2011,Active,Sandbox video game,Microsoft,3,63,9,Low,On Track,614,30,55,75.6,82,18,13.5,1,0.614,63,2,27
LinkedIn,2002,Active,Professional networking platform,Microsoft,12,54,6,High,Delayed,4209,120,70,64.8,88,12,9,6,4.209,54,1,72
Microsoft Edge (Chromium),2020,Active,Web browser (Chromium-based version),Microsoft,14,84,8,Medium,Critical,2234,140,60,100.8,84,16,12,7,2.234,84,0,112
Microsoft Power Automate,2016 (as Microsoft Flow),Active,Workflow automation tool,Microsoft,17,67,0,Low,Critical,3695,170,100,80.4,100,0,0,8,3.695,67,0,0
GitHub,2008,Active,Web-based hosting service for version control using Git,Meta,11,58,6,Medium,On Track,3056,110,70,69.6,88,12,9,5,3.056,58,2,66
Facebook,2004,Active,Social networking platform,Meta,19,107,5,Medium,On Track,1660,190,75,128.4,90,10,7.5,9,1.66,93,2,95
Instagram,2010,Active,Photo and video sharing platform,Meta,19,66,9,Medium,Critical,1366,190,55,79.2,82,18,13.5,9,1.366,66,0,171
WhatsApp,2009,Active,Messaging and voice over IP (VoIP) service,Meta,14,56,13,Low,Delayed,2269,140,35,67.2,74,26,19.5,7,2.269,56,1,182
Oculus Rift,2016,Active,Virtual reality headset,Meta,9,95,11,Low,On Track,3738,90,45,114,78,22,16.5,4,3.738,95,2,99
Oculus Quest,2019,Active,All-in-one virtual reality system,Meta,4,62,8,Medium,On Track,849,40,60,74.4,84,16,12,2,0.849,62,2,32
Oculus Go,2018,Discontinued,Standalone virtual reality headset,Meta,5,89,0,Low,Critical,3527,50,100,106.8,100,0,0,2,3.527,89,0,0
Portal,2018,Active,Smart display and video calling device,Meta,19,91,12,Low,Delayed,4880,190,40,109.2,76,24,18,9,4.88,91,1,228
Workplace by Facebook,2016,Active,Enterprise collaboration platform,Meta,7,58,3,Low,Critical,2027,70,85,69.6,94,6,4.5,3,2.027,58,0,21
Facebook Messenger,2011,Active,Instant messaging and video calling,Meta,19,99,8,Medium,Delayed,3904,190,60,118.8,84,16,12,9,3.904,99,1,152
Facebook Gaming,2018,Active,Gaming platform for live streaming,Meta,19,76,3,Low,Delayed,3802,190,85,91.2,94,6,4.5,9,3.802,76,1,57
Facebook Watch,2017,Active,Video-on-demand service,Meta,19,115,9,High,Delayed,2456,190,55,138,82,18,13.5,9,2.456,85,1,171
Novi (formerly Calibra),2019,Active,Digital wallet for the Libra (Diem) cryptocurrency,Meta,4,54,2,Medium,On Track,4890,40,90,64.8,96,4,3,2,4.89,54,2,8
Facebook Horizon,2020,Active (Beta),Social virtual reality (VR) world,Meta,4,78,8,High,Critical,2435,40,60,93.6,84,16,12,2,2.435,78,0,32
Spark AR Studio,2015,Active,Augmented reality (AR) creation platform,Meta,7,86,12,High,Critical,406,70,40,103.2,76,24,18,3,0.406,86,0,84
Facebook Dating,2019,Active,Online dating service within the Facebook app,Meta,3,87,1,High,Delayed,3765,30,95,104.4,98,2,1.5,1,3.765,87,1,3
Oculus Link,2019,Active,Software feature for connecting Oculus Quest to a PC for high-end VR experiences,Meta,3,57,14,High,On Track,2089,30,30,68.4,72,28,21,1,2.089,57,2,42
Instagram Reels,2020,Active,Short-form video content on Instagram,Meta,4,114,3,Low,On Track,761,40,85,136.8,94,6,4.5,2,0.761,86,2,12
Facebook Shops,2020,Active,E-commerce platform integrated with Facebook and Instagram,Meta,14,66,14,Medium,Critical,4744,140,30,79.2,72,28,21,7,4.744,66,0,196
Oculus Move,2020,Active,Fitness tracking for Oculus VR users,Meta,8,94,5,Low,On Track,411,80,75,112.8,90,10,7.5,4,0.411,94,2,40
Facebook Horizon Workrooms,2021,Active,Virtual reality meeting and collaboration space,Meta,6,53,1,Low,On Track,3020,60,95,63.6,98,2,1.5,3,3.02,53,2,6
Meta Quest,2021,Active,All-in-one virtual reality system (rebranded Oculus Quest),Meta,13,85,14,Medium,Delayed,1182,130,30,102,72,28,21,6,1.182,85,1,182
Facebook Meta,2021,Active,"Parent company overseeing Facebook, Instagram, WhatsApp, and other products",Meta,19,119,7,Medium,On Track,3071,190,65,142.8,86,14,10.5,9,3.071,81,2,133
Meta Horizon Venues,2019,Active,Virtual reality spaces for events and gatherings,Meta,8,80,7,Low,Delayed,854,80,65,96,86,14,10.5,4,0.854,80,1,56
Oculus Air Link,2021,Active,Wireless PC connection for Oculus Quest 2,Meta,7,68,0,Medium,Critical,4230,70,100,81.6,100,0,0,3,4.23,68,0,0
Meta Business Suite,2021,Active,Social media management tools for businesses,Meta,4,110,11,High,On Track,4640,40,45,132,78,22,16.5,2,4.64,90,2,44
Meta Quest 2,2020,Active,All-in-one virtual reality system (successor to Oculus Quest),Meta,8,103,2,Medium,Critical,452,80,90,123.6,96,4,3,4,0.452,97,0,16
Meta Quest Pro,Expected in 2022,Upcoming,Upcoming professional-grade virtual reality headset,Meta,13,88,9,Medium,Critical,1002,130,55,105.6,82,18,13.5,6,1.002,88,0,117
Google Search,1997,Active,Web search engine,Google,18,68,8,High,On Track,3988,180,60,81.6,84,16,12,9,3.988,68,2,144
Gmail,2004,Active,Email service,Google,18,88,4,High,On Track,258,180,80,105.6,92,8,6,9,0.258,88,2,72
Google Maps,2005,Active,Mapping and navigation,Google,3,116,5,Medium,Critical,2077,30,75,139.2,90,10,7.5,1,2.077,84,0,15
YouTube,2005,Active,Video sharing platform,Google,11,94,3,High,On Track,1056,110,85,112.8,94,6,4.5,5,1.056,94,2,33
Google Docs,2006,Active,Online document editing and collaboration,Google,8,62,9,High,Delayed,2171,80,55,74.4,82,18,13.5,4,2.171,62,1,72
Google Calendar,2006,Active,Online calendar,Google,18,107,1,High,Delayed,503,180,95,128.4,98,2,1.5,9,0.503,93,1,18
Google Chrome,2008,Active,Web browser,Google,5,69,10,Low,On Track,4711,50,50,82.8,80,20,15,2,4.711,69,2,50
Google Drive,2012,Active,Cloud storage and file synchronization,Google,6,110,7,Low,Critical,2879,60,65,132,86,14,10.5,3,2.879,90,0,42
Google+ (discontinued),2011,Discontinued,Social networking service,Google,5,88,10,Low,On Track,1487,50,50,105.6,80,20,15,2,1.487,88,2,50
Google Photos,2015,Active,Photo and video storage and sharing,Google,9,50,12,Low,On Track,3553,90,40,60,76,24,18,4,3.553,50,2,108
Google Assistant,2016,Active,Virtual assistant,Google,11,52,5,Medium,Critical,1055,110,75,62.4,90,10,7.5,5,1.055,52,0,55
Google Home,2016,Active,Smart speaker,Google,3,111,4,Medium,Critical,1812,30,80,133.2,92,8,6,1,1.812,89,0,12
Google Pixel,2016,Active,Line of consumer electronic devices,Google,10,112,8,High,Delayed,4803,100,60,134.4,84,16,12,5,4.803,88,1,80
Google Duo,2016,Active,Video chat app,Google,9,74,0,Low,Critical,1373,90,100,88.8,100,0,0,4,1.373,74,0,0
Google Allo (discontinued),2016,Discontinued,Messaging app with virtual assistant,Google,10,105,4,High,Delayed,3911,100,80,126,92,8,6,5,3.911,95,1,40
Google Podcasts,2018,Active,Podcast player and app,Google,3,82,5,Medium,Critical,2725,30,75,98.4,90,10,7.5,1,2.725,82,0,15
Google Stadia,2019,Active,Cloud gaming service,Google,13,87,4,Medium,On Track,2482,130,80,104.4,92,8,6,6,2.482,87,2,52
Google Meet,2017,Active,Video conferencing service,Google,12,55,5,High,Delayed,1541,120,75,66,90,10,7.5,6,1.541,55,1,60
